"","vapourpres_h09","time"
"1",16.814453125,1980-01-01
"2",22.2744140625,1980-01-02
"3",14.763671875,1980-01-03
"4",22.8642578125,1980-01-04
"5",22.59375,1980-01-05
"6",21.513671875,1980-01-06
"7",18.2939453125,1980-01-07
"8",14.583984375,1980-01-08
"9",17.5439453125,1980-01-09
"10",9.2744140625,1980-01-10
"11",8.314453125,1980-01-11
"12",25.0537109375,1980-01-12
"13",19.4443359375,1980-01-13
"14",18.07421875,1980-01-14
"15",21.0439453125,1980-01-15
"16",19.994140625,1980-01-16
"17",15.2041015625,1980-01-17
"18",17.1142578125,1980-01-18
"19",20.0341796875,1980-01-19
"20",18.333984375,1980-01-20
"21",21.1337890625,1980-01-21
"22",20.833984375,1980-01-22
"23",23.34375,1980-01-23
"24",24.904296875,1980-01-24
"25",16.904296875,1980-01-25
"26",15.3740234375,1980-01-26
"27",20.8642578125,1980-01-27
"28",24.484375,1980-01-28
"29",18.7138671875,1980-01-29
"30",13.84375,1980-01-30
"31",10.013671875,1980-01-31
"32",12.115234375,1980-02-01
"33",12.2451171875,1980-02-02
"34",15.0146484375,1980-02-03
"35",13.9853515625,1980-02-04
"36",15.224609375,1980-02-05
"37",17.96484375,1980-02-06
"38",17.6953125,1980-02-07
"39",17.525390625,1980-02-08
"40",16.4453125,1980-02-09
"41",23.5947265625,1980-02-10
"42",28.21484375,1980-02-11
"43",17.6748046875,1980-02-12
"44",9.0546875,1980-02-13
"45",8.4951171875,1980-02-14
"46",8.78515625,1980-02-15
"47",8.4248046875,1980-02-16
"48",13.6552734375,1980-02-17
"49",15.5654296875,1980-02-18
"50",17.794921875,1980-02-19
"51",17.9853515625,1980-02-20
"52",16.1748046875,1980-02-21
"53",21.275390625,1980-02-22
"54",18.5146484375,1980-02-23
"55",20.03515625,1980-02-24
"56",17.0546875,1980-02-25
"57",16.4453125,1980-02-26
"58",18.9150390625,1980-02-27
"59",16.474609375,1980-02-28
"60",11.96484375,1980-02-29
"61",12.6103515625,1980-03-01
"62",12.1201171875,1980-03-02
"63",21.9501953125,1980-03-03
"64",15.9599609375,1980-03-04
"65",17.7197265625,1980-03-05
"66",15.6396484375,1980-03-06
"67",16.759765625,1980-03-07
"68",13.9404296875,1980-03-08
"69",18.099609375,1980-03-09
"70",19.4599609375,1980-03-10
"71",14.5595703125,1980-03-11
"72",11.400390625,1980-03-12
"73",10.990234375,1980-03-13
"74",9.8603515625,1980-03-14
"75",8.990234375,1980-03-15
"76",21.33984375,1980-03-16
"77",21.6796875,1980-03-17
"78",17.7197265625,1980-03-18
"79",14.740234375,1980-03-19
"80",22.6201171875,1980-03-20
"81",11.23046875,1980-03-21
"82",10.08984375,1980-03-22
"83",12.9296875,1980-03-23
"84",18.1298828125,1980-03-24
"85",21.2099609375,1980-03-25
"86",16.8203125,1980-03-26
"87",11.4404296875,1980-03-27
"88",11.6201171875,1980-03-28
"89",15.4501953125,1980-03-29
"90",20.509765625,1980-03-30
"91",18.009765625,1980-03-31
"92",16.9052734375,1980-04-01
"93",15.8251953125,1980-04-02
"94",18.5146484375,1980-04-03
"95",12.0048828125,1980-04-04
"96",8.9453125,1980-04-05
"97",15.5654296875,1980-04-06
"98",18.125,1980-04-07
"99",17.205078125,1980-04-08
"100",16.474609375,1980-04-09
"101",14.455078125,1980-04-10
"102",11.0146484375,1980-04-11
"103",16.705078125,1980-04-12
"104",13.365234375,1980-04-13
"105",16.03515625,1980-04-14
"106",10.1748046875,1980-04-15
"107",7.9248046875,1980-04-16
"108",19.2451171875,1980-04-17
"109",15.28515625,1980-04-18
"110",19.28515625,1980-04-19
"111",19.7548828125,1980-04-20
"112",16.474609375,1980-04-21
"113",12.3349609375,1980-04-22
"114",13.1650390625,1980-04-23
"115",15.4345703125,1980-04-24
"116",11.71484375,1980-04-25
"117",8.9345703125,1980-04-26
"118",9.4951171875,1980-04-27
"119",9.4951171875,1980-04-28
"120",9.474609375,1980-04-29
"121",12.125,1980-04-30
"122",9.890625,1980-05-01
"123",12.6005859375,1980-05-02
"124",17.19140625,1980-05-03
"125",18.861328125,1980-05-04
"126",21.78125,1980-05-05
"127",17.720703125,1980-05-06
"128",15.041015625,1980-05-07
"129",14.62109375,1980-05-08
"130",16.2412109375,1980-05-09
"131",9.951171875,1980-05-10
"132",8.55078125,1980-05-11
"133",8.701171875,1980-05-12
"134",11.6708984375,1980-05-13
"135",16.9912109375,1980-05-14
"136",20.130859375,1980-05-15
"137",15.291015625,1980-05-16
"138",19.1708984375,1980-05-17
"139",16.8310546875,1980-05-18
"140",14.720703125,1980-05-19
"141",14.28125,1980-05-20
"142",9.9208984375,1980-05-21
"143",16.87109375,1980-05-22
"144",18.560546875,1980-05-23
"145",15.060546875,1980-05-24
"146",14.130859375,1980-05-25
"147",13.9111328125,1980-05-26
"148",12.87109375,1980-05-27
"149",20.7109375,1980-05-28
"150",19.9912109375,1980-05-29
"151",17.291015625,1980-05-30
"152",15.12109375,1980-05-31
"153",12.6171875,1980-06-01
"154",13.6865234375,1980-06-02
"155",12.4970703125,1980-06-03
"156",12.88671875,1980-06-04
"157",14.287109375,1980-06-05
"158",9.806640625,1980-06-06
"159",10.6474609375,1980-06-07
"160",7.45703125,1980-06-08
"161",9.3974609375,1980-06-09
"162",8.3466796875,1980-06-10
"163",9.466796875,1980-06-11
"164",7.796875,1980-06-12
"165",13.716796875,1980-06-13
"166",11.947265625,1980-06-14
"167",12.20703125,1980-06-15
"168",15.0771484375,1980-06-16
"169",12.1865234375,1980-06-17
"170",10.20703125,1980-06-18
"171",13.4072265625,1980-06-19
"172",17.216796875,1980-06-20
"173",16.20703125,1980-06-21
"174",15.95703125,1980-06-22
"175",14.95703125,1980-06-23
"176",18.046875,1980-06-24
"177",14.037109375,1980-06-25
"178",14.1865234375,1980-06-26
"179",8.7373046875,1980-06-27
"180",8.556640625,1980-06-28
"181",14.1474609375,1980-06-29
"182",12.88671875,1980-06-30
"183",11.7392578125,1980-07-01
"184",10.859375,1980-07-02
"185",10.6689453125,1980-07-03
