,soil.char.site_unique,soil.char.site_location_name,soil.char.site_location_visit_id,soil.char.upper_depth,soil.char.lower_depth,soil.char.horizon,soil.char.texture_grade,soil.char.texture_qualifier,soil.char.texture_modifier,soil.char.colour_when_moist,soil.char.colour_when_dry,soil.char.mottles_colour,soil.char.mottles_abundance,soil.char.mottles_size,soil.char.segregations_abundance,soil.char.segregations_size,soil.char.segregations_nature,soil.char.segregations_form,soil.char.comments,soil.char.collected_by,soil.char.smallest_size_1,soil.char.smallest_size_2,soil.char.effervescence,soil.char.ec,soil.char.ph,soil.char.pedality_grade,soil.char.pedality_fabric,soil.char.next_size_type_2,soil.char.next_size_type_1,soil.char.smallest_size_type_2,soil.char.smallest_size_type_1,soil.char.next_size_2,soil.char.next_size_1,soil.char.layer_barcode
0,NSABHC0023-57099,NSABHC0023,57099,0.0,0.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,N,0.116,7.5,NC,NC,NC,NC,NC,NC,,11.0,NSA 051305
1,NSABHC0023-57099,NSABHC0023,57099,0.2,0.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,NC,,,NC,NC,NC,NC,NC,NC,,11.0,NSA 051307
2,NSABHC0023-57099,NSABHC0023,57099,0.3,0.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,NC,,,NC,NC,NC,NC,NC,NC,,11.0,NSA 051308
3,NSABHC0023-57099,NSABHC0023,57099,0.6,0.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,NC,,,NC,NC,NC,NC,NC,NC,,11.0,NSA 051311
4,NSABHC0023-57099,NSABHC0023,57099,0.4,0.5,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,NC,,,NC,NC,NC,NC,NC,NC,,11.0,NSA 051309
5,NSABHC0023-57099,NSABHC0023,57099,0.5,0.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,NC,,,NC,NC,NC,NC,NC,NC,,11.0,NSA 051310
6,NSABHC0023-57099,NSABHC0023,57099,0.1,0.2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,7.0,11.0,,NC,,,NC,NC,NC,NC,NC,NC,,11.0,NSA 051306
7,NSAMDD0014-56963,NSAMDD0014,56963,0.75,1.0,A12,S,,,10R56,,,0,,2,1,K,S,Pit and subsites 1-5 in N.E. corner.    Bilby and Burrowing Betong digs throughout site.,2.0,11.0,,H,0.19,9.1,G,G,NC,NC,NC,NC,,11.0,NSA  053435
8,NSAMDD0014-56963,NSAMDD0014,56963,0.0,0.75,A11,S,,,2.5YR36,,,0,,0,,,,Pit and subsites 1-5 in N.E. corner.    Bilby and Burrowing Betong digs throughout site.,2.0,11.0,,N,0.03,8.5,G,G,NC,NC,NC,NC,,11.0,NSA  053434
9,NSANAN0002-58561,NSANAN0002,58561,0.45,0.7,B,CS,A,F,7.5YR 2.5/1,7.5YR 2.5/3,,0,,0,,,,"70cm pit. 40cm dug, 30cm auger. no real change in horizon.Microrelief- site on hillslope. Soil surface- layer of ash still present. Disturbance- fire",31.0,2.0,,N,0.014,5.98,M,NC,NC,SB,NC,SB,,3.0,NST004475
