,AVP_000_005,AVP_005_015,AVP_015_030,AVP_030_060,AVP_060_100,AVP_100_200,CLY_000_005,CLY_005_015,CLY_015_030,CLY_030_060,CLY_060_100,CLY_100_200,DER_000_999,NTO_000_005,NTO_005_015,NTO_015_030,NTO_030_060,NTO_060_100,NTO_100_200,PHW_005_015,PHW_015_030,PHW_030_060,PHW_060_100,PHW_100_200,PTO_000_005,PTO_005_015,PTO_015_030,PTO_030_060,PTO_060_100,PTO_100_200,SLT_000_005,SLT_005_015,SLT_030_060,SLT_060_100,SLT_100_200,pHc_000_005,pHc_005_015,pHc_015_030,pHc_030_060,pHc_060_100,pHc_100_200
NTAMAC0002,16.0,12.5,6.0,3.25,3.0,2.5,8.75,8.25,9.5,16.0,16.0,15.75,12.405685,0.03363213,0.031144794,0.027144732,0.022461731,0.019362085,0.018418744,7.375,7.3500004,7.3500004,7.525,7.3,0.016179226,0.015456574,0.01439371,0.01501014,0.015769796,0.015035962,6.0,5.75,8.25,8.0,7.0,5.8527737,5.943263,6.096474,6.3193574,6.528211,6.732408
NTAMAC0003,14.75,11.0,5.0,3.0,3.0,2.5,10.25,8.75,10.25,14.0,12.5,17.25,8.785676,0.036229346,0.033496507,0.030098785,0.02489584,0.023149535,0.021938186,7.3250003,7.375,7.7,7.825,7.6,0.017820045,0.017053729,0.015803453,0.015923938,0.016927982,0.016238965,7.0,5.75,7.5,6.5,8.0,6.2640953,6.359296,6.5165343,6.761052,6.955051,7.132562
NTAMGD0001,12.75,10.25,5.0,2.0,2.0,2.0,43.75,45.75,46.5,48.0,48.0,50.0,23.739634,0.046813615,0.042057406,0.033956353,0.026026623,0.02255533,0.020988487,7.1499996,7.525,7.7,7.75,7.4249997,0.024751734,0.02391953,0.022274539,0.020892518,0.021085158,0.021857541,13.0,13.0,14.0,14.0,13.0,6.5590916,6.617595,6.7801895,6.9285884,7.095244,7.200603
NTAMGD0002,12.0,9.833333333333334,5.0,2.0,2.0,2.0,41.5,42.5,44.166668,43.5,43.166668,44.333332,22.30282,0.046196297,0.04159693,0.03434184,0.026383461,0.022510199,0.02092134,7.183334,7.5,7.7166667,7.866667,7.5499997,0.024680668,0.023871398,0.02225677,0.021096835,0.021319708,0.022187425,13.166667,13.0,13.333333,14.0,12.833333,6.770372,6.829344,6.9975924,7.165321,7.3242173,7.4171023
NTAMGD0003,4.0,3.5,2.25,2.0,2.0,1.0,11.0,11.5,23.0,29.0,34.75,41.0,9.063331,0.05930718,0.054134324,0.04436537,0.034667633,0.02819123,0.026326325,6.3250003,6.6499996,6.9500003,7.0,7.125,0.019479841,0.019119231,0.01775402,0.017291704,0.018086966,0.018827181,6.0,6.25,10.5,11.25,11.0,5.5835195,5.604252,5.7262864,5.9851294,6.1383667,6.255398
NTAMGD0004,8100.666666666667,8100.0,8099.166666666667,8097.833333333333,8097.833333333333,8097.333333333333,5.2,5.4,6.0,7.6,12.0,11.0,15.020556,0.051700365,0.046953652,0.035669006,0.028338026,0.021321809,0.02034801,5.8,6.2599998,6.54,6.6400003,6.96,0.012832813,0.0125986785,0.011613472,0.011300819,0.011634523,0.012136707,3.8,3.8,5.0,6.2,5.6,5.2411537,5.2451887,5.3209233,5.496684,5.7274146,5.916322
NTAMGD0005,6.0,5.5,4.5,2.0,2.0,2.0,4.0,6.25,5.0,5.75,8.75,11.0,30.232378,0.043331146,0.039355494,0.029913424,0.023666674,0.018900024,0.017995242,5.825,6.35,6.525,6.525,7.1,0.0108479215,0.010669863,0.009906715,0.009679042,0.009945288,0.010431444,3.0,4.0,3.75,5.0,5.5,5.271168,5.276408,5.349077,5.517901,5.7611156,5.9688196
NTAPCK0001,3.5,3.0,3.0,2.0,2.0,2.0,8.0,8.0,9.5,11.25,18.5,22.25,19.66515,0.09089595,0.07932509,0.048421532,0.034485936,0.024726793,0.023317967,5.9,5.925,5.875,5.8,5.975,0.017495003,0.01662785,0.0139946025,0.014133627,0.014203396,0.013761235,6.0,6.75,7.25,8.0,9.0,4.819897,4.8122263,4.8851776,5.0053883,5.172343,5.3318048
NTAPCK0002,5.0,4.0,3.0,2.0,2.0,2.0,8.0,8.666667,10.0,12.0,17.666666,24.166666,22.499018,0.101312496,0.087690346,0.050601587,0.035110347,0.023378735,0.021691024,5.816666,5.816666,5.8999996,5.9,5.9166665,0.015804479,0.014825857,0.012490928,0.01232813,0.0124598285,0.012097274,6.0,6.3333335,6.8333335,8.0,9.0,4.880626,4.872828,4.946583,5.0716414,5.282683,5.445684
NTAPCK0003,4.0,3.6666666666666665,3.0,2.0,2.0,2.0,7.1666665,8.0,8.333333,11.666667,16.5,18.833334,22.564703,0.10117657,0.088227995,0.05221264,0.035975587,0.02453689,0.02268991,5.816667,5.683333,5.7500005,5.7500005,5.816666,0.016683506,0.015909066,0.013160263,0.01202194,0.011975374,0.011241951,6.0,6.0,6.3333335,7.1666665,8.0,4.8839283,4.876104,4.9498634,5.0458055,5.189343,5.3415046
NTAPCK0004,4.0,4.0,3.0,2.0,2.0,2.0,7.0,7.5,9.0,13.75,22.25,25.5,30.994022,0.09465223,0.082700565,0.04995729,0.03510007,0.023596924,0.022201255,6.0,5.875,5.7749996,5.7749996,5.85,0.016966622,0.016174711,0.013396959,0.013249309,0.013187126,0.0124773765,5.75,6.0,7.5,8.75,9.5,4.847496,4.8396378,4.9132533,5.030509,5.2132015,5.373594
NTAPCK0005,4.0,4.0,3.0,2.0,2.0,2.5,7.0,8.0,9.0,13.0,20.75,24.25,22.89476,0.09603431,0.083811864,0.05041125,0.034918915,0.022789603,0.021500297,5.9249997,5.7750006,5.75,5.75,5.825,0.017577175,0.016873967,0.013917444,0.013453481,0.013491196,0.012779428,6.0,6.0,7.0,8.5,9.0,4.8020554,4.7944283,4.868001,4.990798,5.1966977,5.359846
NTAPCK0006,4.25,3.5,3.0,2.0,2.0,2.0,7.75,8.0,9.0,12.0,17.0,20.75,25.270666,0.09285103,0.08099367,0.048200548,0.033607364,0.022448452,0.02101156,5.8,5.7250004,5.7250004,5.825,5.925,0.015007031,0.014269012,0.011897631,0.011348545,0.011403622,0.0108085,5.75,6.25,6.5,7.25,8.0,4.924031,4.916686,4.9918327,5.1220274,5.3206244,5.4781427
NTAPCK0007,3.25,3.0,2.0,2.0,2.0,2.0,7.75,8.0,9.0,12.25,15.75,24.0,30.719908,0.08457978,0.0734876,0.044673964,0.031260274,0.02311901,0.021696262,5.8,5.7,5.7,5.7,5.8500004,0.016099695,0.01525104,0.012840308,0.012881243,0.013094574,0.012560853,6.0,6.25,7.0,7.0,9.0,4.8540277,4.846408,4.9200306,5.058465,5.2745757,5.437691
NTAPCK1009,4.0,3.0,2.75,2.0,2.0,2.0,7.75,8.25,9.25,10.75,13.75,18.0,19.563889,0.10303421,0.09052694,0.052518494,0.036960565,0.025188629,0.023447018,5.7249994,5.625,5.675,5.7,5.7250004,0.018581025,0.01760738,0.014670314,0.013149725,0.012934804,0.012196852,6.0,6.0,6.25,6.75,7.5,4.9802203,4.971243,5.042164,5.1562014,5.359253,5.5114155
NTAPCK1010,4.0,3.75,3.0,2.0,2.0,2.0,8.25,9.0,9.25,10.75,12.75,16.25,23.57476,0.09151985,0.07987328,0.04993681,0.035067163,0.023683187,0.022176187,5.8,5.7,5.7,5.625,5.675,0.014245778,0.01353046,0.011335975,0.010640446,0.010714339,0.010221038,6.0,6.5,6.5,6.25,7.5,5.071105,5.0632367,5.1357555,5.2696533,5.48049,5.640716
NTAPCK1011,5.0,4.25,3.0,2.0,2.0,2.0,7.5,8.25,9.0,12.75,18.75,25.75,15.83762,0.090671755,0.07881369,0.04628648,0.032561764,0.022502184,0.021192715,5.7749996,5.675,5.7,5.7,5.7499995,0.014576587,0.013808879,0.01160888,0.011561038,0.0117235705,0.011231156,6.0,6.0,7.25,8.0,8.75,4.8956337,4.8883123,4.962843,5.0982385,5.3107853,5.472342
NTAPCK1012,4.5,4.25,3.0,2.0,2.0,2.0,8.0,8.75,9.75,13.75,19.75,24.5,12.599618,0.08580342,0.07447591,0.043581948,0.030518372,0.02310928,0.021768324,5.7750006,5.6749997,5.7,5.7,5.7249994,0.014444289,0.013671168,0.011449545,0.011192443,0.011326203,0.010897685,6.0,6.25,7.75,8.25,9.0,4.862214,4.8554034,4.9321685,5.057805,5.2209377,5.3807063
NTAPCK2013,5.5,5.0,3.0,2.0,2.0,2.0,7.0,8.0,9.0,13.25,20.25,27.25,18.624363,0.094784565,0.082258224,0.048317462,0.033901993,0.02337078,0.021964986,5.8,5.75,5.75,5.7,5.7749996,0.0156071875,0.014773019,0.0124108,0.012403885,0.012567071,0.012068472,5.75,6.0,7.0,8.75,9.25,4.936978,4.9303913,5.007057,5.150357,5.3485045,5.5116076
NTAPCK2014,4.5,4.0,3.0,2.0,2.0,2.0,7.5,8.25,9.5,12.5,21.25,27.75,19.646347,0.094836965,0.08231188,0.047856696,0.033659056,0.023800548,0.022488272,5.825,5.75,5.8,5.7250004,5.7250004,0.014793978,0.01399334,0.011729913,0.011582894,0.011761072,0.011242617,6.0,6.0,7.0,8.75,9.5,4.9261165,4.91877,4.992678,5.1181264,5.331181,5.4953165
NTASSD0001,20253.416666666668,20250.666666666668,20244.75,20242.25,20242.166666666668,20242.166666666668,5.714286,5.714286,5.714286,6.0,6.142857,11.142858,117.795654,0.028010517,0.026025105,0.020848561,0.01673912,0.0142545635,0.0137629155,6.457143,6.771428,6.857143,6.7857137,6.8142853,0.020201158,0.019711154,0.018042771,0.017143654,0.0177854,0.017878605,3.857143,3.7142856,4.142857,4.428571,5.142857,5.575541,5.6184974,5.777164,6.0210824,6.275045,6.5319915
NTASSD0003,8114.166666666667,8110.0,8102.333333333333,8098.833333333333,8098.666666666667,8098.666666666667,5.4,5.6,5.6,5.6,5.8,10.8,117.73983,0.027524328,0.025603658,0.020392155,0.01643256,0.013727123,0.013297823,6.4199996,6.7599998,6.8199997,6.7599998,6.8,0.021171603,0.0206729,0.018958533,0.01806042,0.018502954,0.018461877,3.8,3.4,3.8,4.2,5.0,5.5571775,5.601548,5.761194,6.002329,6.2542195,6.5154066
NTASSD0004,8113.833333333333,8109.833333333333,8102.166666666667,8098.666666666667,8098.666666666667,8098.666666666667,6.4,5.8,6.2,6.2,6.4,10.2,120.3463,0.03180738,0.029506981,0.02370577,0.018820493,0.015457898,0.014807525,6.5,6.8199997,6.9,6.84,6.8,0.01955308,0.019069344,0.01744276,0.016466552,0.01711223,0.017290534,4.8,3.8,4.0,4.4,4.8,5.59055,5.635907,5.804787,6.0588136,6.3075876,6.560214
NTASSD0005,16205.333333333334,16202.444444444445,16196.444444444445,16193.666666666666,16193.666666666666,16193.666666666666,4.0,4.1666665,4.6666665,4.5,4.8333335,8.166667,73.48516,0.029874029,0.027837986,0.021892207,0.017424243,0.014714759,0.014015251,6.4166665,6.6499996,6.7000003,6.616667,6.816667,0.021985883,0.021515572,0.019868307,0.018622242,0.019012993,0.019042004,3.5,3.3333333,3.5,4.8333335,4.0,5.8021827,5.849729,5.9900227,6.2253976,6.4792995,6.6873736
NTASSD0006,8111.666666666667,8108.5,8101.166666666667,8097.833333333333,8097.833333333333,8097.833333333333,4.8,4.8,5.4,5.6,5.6,10.0,82.85341,0.031046277,0.028874341,0.022761524,0.018071856,0.014899671,0.014259392,6.56,6.8,6.9199996,6.84,6.9,0.02138995,0.020929914,0.019282876,0.017942386,0.018262666,0.018332012,4.6,4.4,5.2,5.8,4.8,5.7535768,5.8021417,5.942796,6.180994,6.440892,6.6590395
NTASSD0007,8113.666666666667,8110.0,8102.166666666667,8098.166666666667,8098.333333333333,8097.833333333333,4.4,4.4,4.6,4.6,5.4,7.8,73.29872,0.030105984,0.028094048,0.021633485,0.017312413,0.014317009,0.013753692,6.5200005,6.7400002,6.84,6.7400002,6.7399993,0.022887528,0.022413092,0.020717474,0.019491311,0.019991245,0.020020857,3.8,3.6,3.8,4.8,3.8,5.7959566,5.842165,5.9794264,6.202109,6.453901,6.658278
NTASSD0008,18.5,14.5,6.5,2.0,2.0,2.0,5.25,5.0,5.25,5.0,5.75,9.0,80.45291,0.032168794,0.029937606,0.023124874,0.018362837,0.014954654,0.014376904,6.6499996,6.8500004,6.9500003,6.875,6.85,0.020687895,0.020246254,0.018679293,0.017539188,0.017921291,0.01800733,4.75,4.25,5.25,6.0,4.0,5.680921,5.73038,5.873455,6.1350927,6.408902,6.6232824
NTASSD0009,10811.555555555555,10807.555555555555,10800.222222222223,10797.222222222223,10797.222222222223,10796.444444444445,5.285714,5.285714,6.0,7.428571,9.428572,13.428572,62.06767,0.0314472,0.02906913,0.022942787,0.018313468,0.015356789,0.014680887,6.542857,6.8714285,7.0714293,7.2,7.142857,0.024329633,0.023598826,0.021472579,0.019765079,0.019996276,0.019653827,4.428571,4.428571,5.714286,7.285714,7.0,5.50225,5.5354476,5.686761,5.862883,6.1046853,6.356788
NTASSD0010,10812.0,10807.888888888889,10800.333333333334,10797.222222222223,10797.222222222223,10796.444444444445,5.285714,5.857143,6.714286,7.428571,9.857142,12.142858,59.519184,0.030749435,0.028420536,0.023217479,0.018554453,0.015735393,0.015094754,6.5999994,6.8285713,6.9857144,7.057143,7.085714,0.024872726,0.024123462,0.021931361,0.020259576,0.020608932,0.020399688,4.285714,4.571429,5.714286,7.285714,6.285714,5.5470724,5.5824127,5.7446404,5.933632,6.1782885,6.4333835
NTASSD0011,20.75,15.75,6.75,2.5,2.0,2.0,17.0,21.25,26.75,25.75,22.75,29.75,12.577653,0.028415255,0.026395846,0.023053039,0.018297674,0.0155125,0.014579687,6.7749996,7.325,7.4,7.325,7.7,0.027199674,0.026710471,0.024646536,0.023292469,0.023371171,0.022903888,9.25,9.5,11.5,11.5,10.75,6.0176554,6.0702543,6.2223783,6.449283,6.639152,6.8238635
NTASSD0012,22.5,16.75,7.0,2.25,2.0,2.0,21.75,25.75,29.75,27.5,26.0,29.75,18.63438,0.028246462,0.026242834,0.02357129,0.018842805,0.01614749,0.015217191,7.2249994,7.75,7.8,7.65,7.8,0.028193481,0.027661843,0.025484968,0.024139417,0.024197241,0.023680545,11.0,11.25,12.75,13.25,10.75,6.132235,6.1837387,6.342902,6.582672,6.765105,6.9352336
NTASSD0013,18.0,13.5,6.0,2.0,2.0,2.0,13.333333,18.166666,23.333334,24.666666,23.0,30.5,10.5423,0.027521886,0.025626747,0.022337364,0.017951386,0.015327294,0.014578325,7.1666665,7.5,7.616667,7.4666667,7.6666665,0.025031196,0.024511782,0.022548692,0.020996377,0.021010024,0.020525178,7.8333335,8.666667,10.833333,10.833333,10.666667,6.182827,6.231587,6.3773575,6.557476,6.7211347,6.878967
NTASSD0014,21.25,16.25,7.25,2.0,2.25,2.0,18.5,26.25,28.25,30.25,25.0,34.0,44.40427,0.028167745,0.026104698,0.023884429,0.018931849,0.015697835,0.014793504,7.7,7.775,7.775,7.575,7.7,0.02903009,0.0284393,0.02622787,0.025161106,0.02567635,0.025462627,9.5,11.25,11.25,12.0,11.0,6.106689,6.1634727,6.348393,6.567992,6.763617,6.9637933
NTASSD0015,21.0,16.0,7.25,3.0,3.0,2.0,9.75,13.25,17.75,22.5,14.5,24.5,13.510293,0.031278696,0.02902615,0.024294948,0.019287225,0.01565618,0.01471683,7.2250004,7.55,7.625,7.475,7.6,0.023728414,0.02315461,0.021303125,0.020444555,0.020991873,0.020674719,6.0,7.0,10.25,8.25,9.5,5.7203093,5.771419,5.9403877,6.1192307,6.3413124,6.5912366
NTASSD0016,20.0,15.0,6.75,2.0,2.0,2.0,12.5,16.0,24.0,28.75,27.75,30.75,11.780512,0.02768049,0.025679473,0.022030827,0.017644014,0.014621013,0.013941193,7.325,7.375,7.325,7.125,7.625,0.026950546,0.026345141,0.024212966,0.02279409,0.023080241,0.022933068,7.75,8.5,11.5,12.0,10.25,5.929816,5.9819717,6.155516,6.35061,6.564964,6.7931085
NTASSD0017,18.75,14.0,6.5,2.0,2.0,2.0,14.75,16.75,24.0,27.5,28.0,29.0,12.280157,0.029853968,0.027700175,0.02425935,0.019230042,0.01609166,0.015248499,7.075,7.2749996,7.25,7.175,7.7,0.02738627,0.026912032,0.024957746,0.024035748,0.024401886,0.024100494,7.75,8.25,10.75,11.5,10.0,6.08223,6.1375246,6.3103247,6.5618773,6.761475,6.9450994
NTASSD0018,19.0,14.0,6.0,2.0,2.0,2.0,12.5,16.833334,25.166666,26.833334,21.5,28.833334,10.400702,0.027791461,0.025847552,0.022548698,0.018090071,0.014682494,0.013912372,7.216667,7.2999997,7.2000003,7.0499997,7.6,0.028162336,0.027532779,0.025324693,0.023760097,0.023835639,0.023617847,7.6666665,8.833333,11.0,11.0,10.0,5.8195724,5.872809,6.0456166,6.2294745,6.439774,6.675281
NTASSD0019,20.75,15.75,8.0,2.5,3.0,2.0,12.25,14.75,18.25,20.0,16.0,26.75,15.429239,0.031198353,0.028948003,0.02365912,0.018845972,0.015394205,0.0146626895,7.2249994,7.5,7.5750003,7.5,7.5,0.02426797,0.023674574,0.021719787,0.020646907,0.021013306,0.020885225,6.75,7.75,9.75,8.5,9.75,5.770032,5.821704,5.9932137,6.1862884,6.4086065,6.6623054
NTASTU0001,4.0,3.0,2.0,1.0,1.0,1.0,25.5,26.75,32.0,36.5,38.75,36.25,34.189476,0.055546835,0.050323874,0.039523132,0.030879717,0.024490947,0.023327118,6.2250004,6.2,6.575,6.8,6.9,0.020690488,0.020132411,0.018145535,0.016731836,0.0167225,0.017052436,10.5,11.25,11.25,12.0,11.0,5.578528,5.5995564,5.708184,5.8529644,6.09043,6.3364134
NTASTU0002,4.0,3.0,2.0,1.0,1.0,1.0,20.75,22.5,27.75,33.0,36.0,32.0,21.688087,0.055133786,0.049831055,0.039306402,0.03069284,0.024269935,0.023088325,6.3250003,6.35,6.475,6.6000004,6.75,0.01975523,0.019246953,0.017415648,0.0165116,0.016588371,0.016899645,9.5,10.25,11.0,11.0,11.0,5.5035806,5.5190406,5.623207,5.7755337,6.0245795,6.263368
NTASTU0003,3.75,3.0,2.0,1.0,1.0,1.0,22.75,22.0,23.75,31.25,35.75,38.5,20.380688,0.059358194,0.054344177,0.04448781,0.03500244,0.030066304,0.02888123,6.4,6.4,6.55,6.6,6.65,0.018916965,0.018394677,0.016582172,0.015748825,0.01592492,0.016368156,10.0,9.75,11.25,12.0,12.0,5.962947,6.007259,6.177298,6.3765874,6.5818467,6.7290845
NTASTU0004,3.0,3.0,2.0,1.5,1.75,1.0,5.0,5.5,6.5,9.75,16.0,22.75,17.004955,0.05229844,0.047497686,0.03614406,0.028141532,0.02392213,0.023285491,6.3999996,6.6000004,6.625,6.6499996,6.85,0.013826076,0.013540229,0.012019755,0.011703644,0.011674041,0.011741618,3.75,3.5,5.0,6.75,8.5,5.5871606,5.558109,5.6908455,5.8515105,6.0169373,6.2209163
NTASTU0005,3.0,3.0,2.0,1.5,1.5,1.0,4.5,4.5,5.25,7.0,11.25,18.75,21.983187,0.05294545,0.048178896,0.035562206,0.027655063,0.02319293,0.022371525,6.7249994,6.675,6.775,6.7999997,7.0,0.012937255,0.012650955,0.0112477075,0.0112081375,0.011313708,0.01144244,2.75,2.75,3.75,5.5,7.75,5.565897,5.5312266,5.6738763,5.83779,5.981749,6.1760864
NTATAN0001,14.25,11.25,6.0,2.25,2.75,2.0,6.75,7.25,9.0,11.0,12.5,14.0,44.656433,0.032265652,0.029357843,0.0225263,0.017902164,0.015137614,0.01479824,5.9,6.1,6.2,6.2749996,6.25,0.012655925,0.0124295335,0.011658961,0.011352355,0.01159003,0.011772402,4.5,5.0,6.0,7.0,7.75,5.121324,5.1419373,5.2426605,5.3406644,5.5344467,5.8083405
NTATAN0002,13.5,10.5,5.5,2.0,2.0,2.0,6.8333335,7.3333335,9.166667,10.666667,12.0,13.5,48.97278,0.03396606,0.03076003,0.023684831,0.018664066,0.015082679,0.014802072,5.933333,6.1,6.2333336,6.316667,6.2999997,0.013097319,0.012857552,0.012035246,0.011534807,0.011635412,0.011712384,5.0,5.0,6.0,7.0,7.8333335,5.086816,5.105476,5.204783,5.2947407,5.4756203,5.743768
NTATAN0003,13.0,10.0,6.0,2.0,2.0,2.0,8.0,8.75,11.0,12.25,12.0,12.25,37.529526,0.035736308,0.032462537,0.025897663,0.020603318,0.016207438,0.015820177,6.4,6.4249997,6.6,6.65,6.7750006,0.012487063,0.012252717,0.011519067,0.01100147,0.0111703,0.01124782,5.5,5.5,6.5,6.5,6.5,5.165545,5.1789327,5.2735806,5.368492,5.5497255,5.782454
NTATAN0004,13.333333333333334,10.333333333333334,5.0,2.0,2.1666666666666665,2.0,7.1666665,8.0,10.666667,11.666667,11.5,10.833333,48.510468,0.04138498,0.037528165,0.028899536,0.02275447,0.017237429,0.016835881,6.283333,6.316666,6.4666667,6.5,6.7000003,0.013484369,0.013235114,0.012410041,0.011796806,0.011913857,0.011975109,5.0,5.3333335,7.1666665,7.1666665,6.1666665,5.1152377,5.1279373,5.2208953,5.2859554,5.4391274,5.670813
NTTDAB0001,8.25,6.5,3.0,2.0,2.0,2.0,7.25,6.75,10.75,14.0,19.0,21.0,8.138099,0.07940056,0.06970305,0.051815186,0.03969008,0.02612565,0.024740346,5.6499996,5.8500004,5.95,6.0,5.8999996,0.020743087,0.019990463,0.017797172,0.016708504,0.017102432,0.017177882,5.0,4.5,6.75,8.25,8.5,5.1541233,5.141339,5.2040133,5.3413806,5.4714336,5.6649404
NTTDAC0001,4.25,4.0,3.0,2.0,2.0,2.0,7.5,8.75,10.0,12.25,16.75,24.5,22.9567,0.09197577,0.07954706,0.057925105,0.041686773,0.030431606,0.028351009,5.8,5.8,5.8,5.675,5.8,0.018938502,0.01775426,0.015959708,0.015480698,0.016572157,0.017162338,5.0,5.75,6.75,8.25,9.5,5.003973,5.0329123,5.1025023,5.255773,5.4790134,5.743865
NTTDMR0001,6.0,5.0,3.1666666666666665,2.0,2.0,1.5,12.0,13.166667,15.666667,20.333334,23.166666,26.833334,12.086564,0.049213514,0.04427518,0.03330401,0.026105503,0.020499343,0.019589264,7.1,6.683334,6.9,7.2666664,6.9666667,0.014681407,0.014463939,0.013436257,0.012999244,0.013269983,0.013816041,7.0,7.1666665,8.833333,10.0,9.0,5.1660566,5.1748147,5.250116,5.318747,5.557365,5.7370663
NTTDMR0002,5.5,4.25,3.0,2.0,2.0,1.0,16.0,16.75,22.5,25.25,25.0,31.5,31.015478,0.050345182,0.045210365,0.03323083,0.025827816,0.01982539,0.018979352,7.125,6.7749996,6.9000006,7.175,7.15,0.01516681,0.014972803,0.013956854,0.013278924,0.013428606,0.013929624,7.75,7.75,8.75,9.25,9.75,5.3230524,5.345905,5.4399066,5.506004,5.7428203,5.960175
NTTDMR0003,8.5,6.5,3.0,2.0,2.0,1.0,11.75,12.5,16.25,18.75,20.5,21.25,25.63052,0.049717706,0.044691317,0.033046402,0.025711492,0.01977892,0.018958906,6.8,6.525,6.7749996,7.25,7.175,0.015918138,0.01569652,0.014595243,0.014210584,0.014434104,0.015040161,7.0,7.5,8.5,9.25,8.25,5.360085,5.3800406,5.469964,5.543655,5.7918315,6.0061255
NTTMGD0001,4.333333333333333,3.3333333333333335,2.5,1.8333333333333333,2.0,1.3333333333333333,17.166666,23.666666,30.833334,31.333334,35.0,38.333332,22.142149,0.046209287,0.042153046,0.03341819,0.026282832,0.021676041,0.020468798,6.2833333,6.5833325,6.966667,7.0333333,7.5333333,0.016260577,0.015973287,0.014870338,0.014594,0.015022621,0.015663832,9.166667,10.166667,11.166667,11.833333,11.0,5.988875,6.020966,6.1360307,6.3828006,6.5441117,6.6740913
NTTPCK0001,22.25,17.5,6.0,3.0,2.0,2.0,8.0,8.75,11.25,14.75,25.5,29.0,7.7298822,0.07711485,0.06630207,0.048252996,0.03522918,0.029908672,0.028192723,5.7749996,5.85,5.925,6.05,6.15,0.02166709,0.020314084,0.018494101,0.018188063,0.019073509,0.019050054,5.5,5.75,7.0,9.75,11.0,4.9059916,4.924007,4.9992146,5.0875106,5.245222,5.472126
NTTSTU0001,4.833333333333333,4.0,3.0,2.0,2.0,1.1666666666666667,14.0,15.666667,19.5,23.0,32.666668,31.0,25.373259,0.05116343,0.04652408,0.035996962,0.028231991,0.022171967,0.02112419,6.1499996,6.2833333,6.4833336,6.666666,6.8500004,0.017656099,0.017229315,0.015734961,0.015138165,0.0153314015,0.015823055,7.1666665,7.5,9.166667,10.833333,10.333333,5.426903,5.4460716,5.5337334,5.645963,5.8553624,6.0857043
QDABBN0001,11.75,10.25,4.25,1.75,2.0,1.0,15.25,14.75,18.25,24.5,37.75,35.75,7.390909,0.07064268,0.06778866,0.046690755,0.035177134,0.026061362,0.022312583,5.6499996,5.9249997,6.3,6.625,6.7,0.02833881,0.027086675,0.022008173,0.01851533,0.017635599,0.017378293,8.0,7.75,8.75,10.5,10.75,5.088667,5.0360365,5.120228,5.2897463,5.4684386,5.651542
QDABBN0002,16.5,13.0,4.5,2.0,2.0,1.0,15.75,16.25,19.5,26.75,36.75,32.75,12.411262,0.080960095,0.077826396,0.05477994,0.04146511,0.03046038,0.025607858,5.925,6.4500003,6.85,7.25,7.65,0.037895128,0.03581222,0.0285181,0.022070598,0.02071843,0.02064171,8.75,8.75,10.0,10.75,11.0,5.3906484,5.357178,5.496342,5.778607,5.9625096,6.141635
QDABBS0001,38.75,31.25,17.75,11.75,5.25,2.75,21.25,27.75,32.5,40.25,41.0,39.75,8.345679,0.17599529,0.16105682,0.1032203,0.070061386,0.039648607,0.031230267,6.6499996,6.7749996,7.0750003,7.2250004,7.2,0.0787837,0.07591159,0.06275732,0.049610805,0.044979487,0.041595656,10.75,12.25,12.0,12.25,12.0,5.7259665,5.7398367,5.8475184,6.0626016,6.2371497,6.4011755
QDABBS0002,41.333333333333336,35.5,28.166666666666668,15.0,3.1666666666666665,2.0,20.333334,24.166666,25.5,34.0,38.333332,38.0,17.777956,0.10063227,0.09420913,0.060970057,0.04495083,0.030552961,0.025360145,6.5000005,6.6999993,7.0833335,7.233333,7.1666665,0.05269057,0.050546646,0.042037696,0.035309777,0.031370826,0.028925622,10.166667,11.166667,11.166667,11.166667,11.0,5.7290363,5.7596345,5.882471,6.0757637,6.266167,6.4272556
QDABBS0003,46.25,36.75,20.75,10.75,5.5,3.0,15.25,18.25,24.25,25.75,30.0,30.75,1.3809359,0.14550242,0.13355103,0.087217234,0.060188815,0.036166858,0.029685002,6.4,6.3,6.5,6.525,7.125,0.047398917,0.046021417,0.038389362,0.032978777,0.032354888,0.030618316,9.75,10.5,10.5,10.25,10.75,5.5417986,5.551135,5.6441946,5.728096,5.867764,6.005222
QDABBS0004,36.25,31.25,23.75,14.0,8.0,2.75,20.75,23.5,33.0,40.0,39.5,37.75,5.6409607,0.17639402,0.16105871,0.103699096,0.06946915,0.039734293,0.031561986,6.125,6.2750006,6.65,6.55,7.0,0.07737164,0.07512899,0.06305065,0.05147665,0.045222454,0.040542398,10.75,12.0,12.0,11.25,12.0,5.488161,5.495564,5.588585,5.7179065,5.839821,5.988116
QDABBS0005,39.25,32.5,25.0,14.5,9.25,2.0,18.5,21.0,27.25,34.75,36.5,36.25,5.768425,0.18682304,0.17074238,0.10762238,0.07223891,0.039834827,0.031016657,5.825,6.125,6.45,6.1249995,6.8250003,0.08619708,0.083162434,0.06931853,0.05454777,0.047674775,0.04357844,10.25,11.25,11.25,11.0,11.25,5.525458,5.532457,5.6269627,5.7365627,5.8556314,6.0009813
