"","soil.char.site_unique","soil.char.site_location_name","soil.char.site_location_visit_id","soil.char.upper_depth","soil.char.lower_depth","soil.char.horizon","soil.char.texture_grade","soil.char.texture_qualifier","soil.char.texture_modifier","soil.char.colour_when_moist","soil.char.colour_when_dry","soil.char.mottles_colour","soil.char.mottles_abundance","soil.char.mottles_size","soil.char.segregations_abundance","soil.char.segregations_size","soil.char.segregations_nature","soil.char.segregations_form","soil.char.comments","soil.char.collected_by","soil.char.smallest_size_1","soil.char.smallest_size_2","soil.char.effervescence","soil.char.ec","soil.char.ph","soil.char.pedality_grade","soil.char.pedality_fabric","soil.char.next_size_type_2","soil.char.next_size_type_1","soil.char.smallest_size_type_2","soil.char.smallest_size_type_1","soil.char.next_size_2","soil.char.next_size_1","soil.char.layer_barcode"
"1","NSABHC0013-53608","NSABHC0013",53608,0.5,0.6,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050414"
"2","WAAPIL0030-58057","WAAPIL0030",58057,0,0.09,"A1","MC","NC","NC","2.5YR2.54",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NE corner. 
Pit to 30 cm, auger to 60 cm. Unable to determine structure past 30 cm. Stopped by too hard to auger by hand, could not extract further material with auger head.

Surface coarse fragments and coarse fragments both also contain Quartz fragments . ",17,"2",NA,"N",0.04,6.8,"M","R","NC","NC","NC","AB",NA,NA,"WAA053908"
"3","WAAPIL0030-58057","WAAPIL0030",58057,0.09,0.45,"B21K","MHC","NC","NC","2.5YR34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NE corner. 
Pit to 30 cm, auger to 60 cm. Unable to determine structure past 30 cm. Stopped by too hard to auger by hand, could not extract further material with auger head.

Surface coarse fragments and coarse fragments both also contain Quartz fragments . ",17,"3",NA,"S",0.1,7.9,"M","R","NC","NC","NC","AB",NA,NA,"WAA053909"
"4","WAAPIL0030-58057","WAAPIL0030",58057,0.45,0.6,"B22K","MC","NC","NC","10R34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NE corner. 
Pit to 30 cm, auger to 60 cm. Unable to determine structure past 30 cm. Stopped by too hard to auger by hand, could not extract further material with auger head.

Surface coarse fragments and coarse fragments both also contain Quartz fragments . ",17,NA,NA,"S",0.11,8.6,"NC","NC","NC","NC","NC","NC",NA,NA,"WAA053910"
"5","NSABHC0013-53608","NSABHC0013",53608,0.3,0.4,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050412"
"6","NSABHC0013-53608","NSABHC0013",53608,0,0.1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050409"
"7","SAASTP0008-53725","SAASTP0008",53725,0.3,0.4,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC",NA,14,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","SAA050918"
"8","NSABHC0013-53608","NSABHC0013",53608,0.4,0.5,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050413"
"9","WAAPIL0031-58415","WAAPIL0031",58415,0,0.17,"A1","SL","NC","NC","2.5YR34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in SE corner. Site on hillslope of about 15 degrees with ironstone and yellow mudstone outcropping common. Triodia species form extensive ground cover to stabilise erosion.Soil surface condition completely covered by coarse fragments. Surface coarse fragments and profile coarse fragments also consist of yellowish mudstone. No bulk densities taken due to high coarse fragment abundance. Unable to collect many of the subsite samples due to shallow soils.",17,"11",NA,"N",0.05,6.3,"G","G","NC","NC","NC","NC",NA,"11","WAA054019"
"10","WAAPIL0032-58416","WAAPIL0032",58416,0.08,0.16,"B2r","SCL","NC","NC","10R34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NW corner. 
Stopped by weathering bedrock (ironstone).
B2r includes much weathering bedrock.
No bulk densities taken due to high coarse fragment abundance. Some subsites unable to collect all samples due to shallow soils. ",17,NA,NA,"N",0.04,4.9,"V","E","NC","NC","NC","NC",NA,NA,"WAA053939"
