"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"1","SASMDD0002-53711","SASMDD0002",53711,"None","SAS 000461","SAS 000463","SAS 000462","SAS 000041","SAS 000047","SAS 000049","SAS 000453","SAS 000465",NA,"Eucalyptus oleosa / Eucalyptus socialis subsp. socialis / Eucalyptus dumosa mixed mid open Mallee forest. Sparse mid layer of isolated shrubs and a sparse ground layer dominated by Maireana pentatropis and Austrostipa sp.",FALSE
"2","SASMDD0016-57000","SASMDD0016",57000,"NC","SAS001764","SAS001732","None","SAS001758","None","None","SAS001770","-1","-1","Eucalyptus oleosa  mid Mallee woodland with Eucalyptus gracilis. Mid stratum of Senna artemisioides subsp. coriacea and a ground stratum dominated by Zygophyllum aurantiacum subsp. aurantiacum and mixed scattered chenopods mainly  Atriplex stipitata and Maireana spp.",FALSE
"3","QDAMUL0002-53505","QDAMUL0002",53505,"","QDA  001392","","","","","","","","","Acacia shirleyi low open forest with bare ground and no understratum.",FALSE
"4","WAANUL0007-56932","WAANUL0007",56932,"NC",NA,NA,NA,NA,NA,NA,"WAA  005906","WAA  005892","WAA  005886","Convolvulus recurvatus subsp.nullarborensis , Zygophyllum iodocarpum , Rhodanthe haigii and Cephalipterum drummondii mixed annual forbland.",FALSE
"5","NTAFIN0030-53748","NTAFIN0030",53748,"","","","","NTA 004975","NTA 004978","","NTA 004993","NTA 004989","NTA 004992","Acacia aptaneura tall shrubland with a sparse under-stratum dominated by Fimbristylis dichotoma, Digitaria brownii, Enneapogon polyphyllus.",FALSE
"6","NTASSD0006-53694","NTASSD0006",53694,NA,NA,NA,NA,NA,NA,NA,"NTA 004605","NTA 004611",NA,"Aristida holathera low open tuccosck grassland with Eriachne aristidea",FALSE
"7","NSABHC0014-53609","NSABHC0014",53609,"","","","","","","","NSA05729","NSA05711","NSA05743","Enneapogon avenaceus, Aristida contorta low sparse tussock grassland to Maireana pyramidata low sparse chenopod shrubland ",FALSE
"8","NSAMDD0005-56969","NSAMDD0005",56969,"NC","NSA 010375","NSA 010439","NSA 010391","NSA 010387","None","None","NSA 010433","NSA 010453","NSA 010465","Eucalyptus dumosa subsp. dumosa, E. socialis and E. gracilis Mallee low woodland (4-6m) with mixed species mid layer dominated by Eremophila longifolia (1-3m) and ground layer of Enchylaena tomentosa, Zygophyllum sp. and Maireana pentatropis on dunes.",FALSE
"9","QDAMUL0001-53594","QDAMUL0001",53594,NA,"QDA 001355","QDA 001363","QDA 001329","QDA 001355",NA,NA,"QDA 001341",NA,NA,"Acacia aneura var. major wood low open forest with emergent Eucalyptus populnea and Eucalyptus melanophloia - E. whitei intergrade. Mid stratum of juvenile Acacia aneura var. major. Minimal ground stratum",FALSE
"10","QDAMUL0003-53595","QDAMUL0003",53595," Mulga have just finished flowering but no fruit. Tussock grasses mostly dry. Dom hibiscus in ground layer has just finished fruiting throughout the site","QDA 001428","QDA 001432","","QDA 001428","","","QDA 001438","QDA 001402","","Acacia aneura var. major low open forest with emergent Eucalyptus crebra x E. melanophloia. Mid stratum of juvenile Acacia aneura var. major. Sparse ground stratum dominated by Thyridolepis xerophila with Hibiscus sturtii",FALSE
