"","site_unique","green","brown","bare","other","error"
"1","WAAPIL0003-57601",2.5,13.9,83.7,NA,4
"2","NSABHC0023-57099",17.9,44.7,37.4,NA,4
"3","TCATCH0006-58807",71.9,24,4.2,NA,4
"4","WAAGAS0002-58421",33,56.5,10.5,NA,4
"5","NSAMDD0014-56963",50.4,24.2,25.3,0.1,0
"6","NTAGFU0021-53668",55.4,20.7,23.9,NA,4
"7","NSANSS0001-58579",71.7,27.9,0.4,NA,4
"8","SATSTP0005-53513",18.2,16.6,65.1,0,0
"9","SATSTP0005-58639",23.3,16.2,57.1,3.4,0
"10","QDASSD0015-56924",22.2,28.9,45.9,3,0
"11","QDASSD0015-57635",8.7,50.1,41.2,0,0
"12","QDASSD0015-58694",9.8,66.6,23.6,0,0
"13","NTAFIN0002-53622",75.1,19.2,5.6,0,0
"14","NTAFIN0002-58018",44.9,40.5,14.7,0,0
"15","NTAFIN0002-58787",43.5,42.5,14,0.1,0
"16","NSANAN0002-58561",44.1,41.9,14.1,NA,4
"17","QDAEIU0010-58883",64.2,27.3,8.5,NA,4
