"","precip","time"
"1",0.2744140625,1987-01-01
"2",4.3388671875,1987-01-02
"3",2.2822265625,1987-01-03
"4",2.849609375,1987-01-04
"5",2.2373046875,1987-01-05
"6",5.1962890625,1987-01-06
"7",6.0927734375,1987-01-07
"8",4.2294921875,1987-01-08
"9",0.365234375,1987-01-09
"10",1.2138671875,1987-01-10
"11",4.5966796875,1987-01-11
"12",13.9462890625,1987-01-12
"13",8.3369140625,1987-01-13
"14",23.583984375,1987-01-14
"15",44.58203125,1987-01-15
"16",21.8955078125,1987-01-16
"17",53.818359375,1987-01-17
"18",58.8173828125,1987-01-18
"19",13.865234375,1987-01-19
"20",4.8017578125,1987-01-20
"21",30.9970703125,1987-01-21
"22",6.6494140625,1987-01-22
"23",1.6748046875,1987-01-23
"24",0.0947265625,1987-01-24
"25",3.291015625,1987-01-25
"26",7.7587890625,1987-01-26
"27",2.77734375,1987-01-27
"28",7.7275390625,1987-01-28
"29",6.5927734375,1987-01-29
"30",9.7724609375,1987-01-30
"31",10.9482421875,1987-01-31
"32",60.537109375,1987-02-01
"33",53.6279296875,1987-02-02
"34",12.8359375,1987-02-03
"35",13.234375,1987-02-04
"36",13.4091796875,1987-02-05
"37",24.2177734375,1987-02-06
"38",9.94921875,1987-02-07
"39",6.4638671875,1987-02-08
"40",17.1259765625,1987-02-09
"41",42.8076171875,1987-02-10
"42",18.45703125,1987-02-11
"43",10.232421875,1987-02-12
"44",7.2021484375,1987-02-13
"45",8.47265625,1987-02-14
"46",6.9755859375,1987-02-15
"47",7.1083984375,1987-02-16
"48",9.8740234375,1987-02-17
"49",11.5537109375,1987-02-18
"50",17.6416015625,1987-02-19
"51",9.4775390625,1987-02-20
"52",8.9033203125,1987-02-21
"53",25.0390625,1987-02-22
"54",28.4150390625,1987-02-23
"55",4.6123046875,1987-02-24
"56",1.650390625,1987-02-25
"57",0.2783203125,1987-02-26
"58",15.7373046875,1987-02-27
"59",3.42578125,1987-02-28
"60",2.7421875,1987-03-01
"61",3.076171875,1987-03-02
"62",0.095703125,1987-03-03
"63",0.01171875,1987-03-04
"64",0.072265625,1987-03-05
"65",0.2880859375,1987-03-06
"66",0.0048828125,1987-03-07
"67",0.2412109375,1987-03-08
"68",0.083984375,1987-03-09
"69",0.052734375,1987-03-10
"70",13.6796875,1987-03-11
"71",20.703125,1987-03-12
"72",13.4990234375,1987-03-13
"73",0,1987-03-14
"74",0.6455078125,1987-03-15
"75",0.0078125,1987-03-16
"76",0.009765625,1987-03-17
"77",6.95703125,1987-03-18
"78",1.3017578125,1987-03-19
"79",1.876953125,1987-03-20
"80",11.9296875,1987-03-21
"81",3.9296875,1987-03-22
"82",2.8662109375,1987-03-23
"83",0,1987-03-24
"84",0,1987-03-25
"85",0,1987-03-26
"86",4.3330078125,1987-03-27
"87",0.4521484375,1987-03-28
"88",0.08984375,1987-03-29
"89",0.30859375,1987-03-30
"90",0.3095703125,1987-03-31
"91",0,1987-04-01
"92",0,1987-04-02
"93",0,1987-04-03
"94",0,1987-04-04
"95",0,1987-04-05
"96",0,1987-04-06
"97",0,1987-04-07
"98",0.150390625,1987-04-08
"99",0,1987-04-09
"100",0.89453125,1987-04-10
"101",21.5234375,1987-04-11
"102",4.712890625,1987-04-12
"103",1.8505859375,1987-04-13
"104",0,1987-04-14
"105",0,1987-04-15
"106",0,1987-04-16
"107",0,1987-04-17
"108",0,1987-04-18
"109",0,1987-04-19
"110",0.0029296875,1987-04-20
"111",0.0302734375,1987-04-21
"112",0,1987-04-22
"113",0.001953125,1987-04-23
"114",0,1987-04-24
"115",0.2080078125,1987-04-25
"116",1.1865234375,1987-04-26
"117",0.828125,1987-04-27
"118",0,1987-04-28
"119",0,1987-04-29
"120",0,1987-04-30
"121",0,1987-05-01
"122",0,1987-05-02
"123",0,1987-05-03
"124",0,1987-05-04
"125",0,1987-05-05
"126",0,1987-05-06
"127",0,1987-05-07
"128",0.00390625,1987-05-08
"129",0.0078125,1987-05-09
"130",0,1987-05-10
"131",0.013671875,1987-05-11
"132",0,1987-05-12
"133",0,1987-05-13
"134",0.0126953125,1987-05-14
"135",0.2607421875,1987-05-15
"136",0.044921875,1987-05-16
"137",2.12109375,1987-05-17
"138",28.41015625,1987-05-18
"139",0,1987-05-19
"140",0.0146484375,1987-05-20
"141",0.0048828125,1987-05-21
"142",0,1987-05-22
"143",0,1987-05-23
"144",1.0947265625,1987-05-24
"145",0,1987-05-25
"146",1.314453125,1987-05-26
"147",0,1987-05-27
"148",0,1987-05-28
"149",0,1987-05-29
"150",0,1987-05-30
"151",0,1987-05-31
"152",0,1987-06-01
"153",0,1987-06-02
"154",0,1987-06-03
"155",0,1987-06-04
"156",0,1987-06-05
"157",0,1987-06-06
"158",0,1987-06-07
"159",0,1987-06-08
"160",0,1987-06-09
"161",0,1987-06-10
"162",0,1987-06-11
"163",0,1987-06-12
"164",0,1987-06-13
"165",0,1987-06-14
"166",0,1987-06-15
"167",0,1987-06-16
"168",0,1987-06-17
"169",0,1987-06-18
"170",0,1987-06-19
"171",0,1987-06-20
"172",0,1987-06-21
"173",0,1987-06-22
"174",0,1987-06-23
"175",0,1987-06-24
"176",0,1987-06-25
"177",0,1987-06-26
"178",0,1987-06-27
"179",0,1987-06-28
"180",0,1987-06-29
"181",0,1987-06-30
"182",0,1987-07-01
"183",0,1987-07-02
"184",0,1987-07-03
"185",0,1987-07-04
"186",0,1987-07-05
"187",0,1987-07-06
"188",0,1987-07-07
"189",0,1987-07-08
"190",0,1987-07-09
"191",0,1987-07-10
"192",0,1987-07-11
"193",0,1987-07-12
"194",0,1987-07-13
"195",0,1987-07-14
"196",0,1987-07-15
"197",0,1987-07-16
"198",0,1987-07-17
"199",0,1987-07-18
"200",0,1987-07-19
"201",0,1987-07-20
"202",0,1987-07-21
"203",0,1987-07-22
"204",0,1987-07-23
"205",0,1987-07-24
"206",0,1987-07-25
"207",0.298828125,1987-07-26
"208",1.767578125,1987-07-27
"209",0,1987-07-28
"210",0,1987-07-29
"211",0,1987-07-30
"212",0,1987-07-31
"213",0,1987-08-01
"214",0,1987-08-02
"215",0,1987-08-03
"216",0,1987-08-04
"217",0,1987-08-05
"218",0,1987-08-06
"219",0,1987-08-07
"220",0,1987-08-08
"221",0,1987-08-09
"222",0,1987-08-10
"223",0,1987-08-11
"224",0,1987-08-12
"225",0,1987-08-13
"226",0,1987-08-14
"227",0,1987-08-15
"228",0,1987-08-16
"229",0,1987-08-17
"230",0,1987-08-18
"231",0,1987-08-19
"232",0,1987-08-20
"233",0,1987-08-21
"234",0,1987-08-22
"235",0,1987-08-23
"236",0,1987-08-24
"237",0,1987-08-25
"238",0,1987-08-26
"239",0,1987-08-27
"240",0,1987-08-28
"241",0.01171875,1987-08-29
"242",0,1987-08-30
"243",0,1987-08-31
"244",0,1987-09-01
"245",0,1987-09-02
"246",0,1987-09-03
"247",0,1987-09-04
"248",0,1987-09-05
"249",0,1987-09-06
"250",0.037109375,1987-09-07
"251",0.6494140625,1987-09-08
"252",0.5478515625,1987-09-09
"253",0.03125,1987-09-10
"254",0,1987-09-11
"255",0,1987-09-12
"256",0.01171875,1987-09-13
"257",0,1987-09-14
"258",0.0048828125,1987-09-15
"259",0,1987-09-16
"260",0.3271484375,1987-09-17
"261",0,1987-09-18
"262",0,1987-09-19
"263",0,1987-09-20
"264",0,1987-09-21
"265",0,1987-09-22
"266",0,1987-09-23
"267",0,1987-09-24
"268",0.615234375,1987-09-25
"269",0.158203125,1987-09-26
"270",0.0361328125,1987-09-27
"271",0,1987-09-28
"272",0.1337890625,1987-09-29
"273",9.162109375,1987-09-30
"274",3.1220703125,1987-10-01
"275",4.5087890625,1987-10-02
"276",0,1987-10-03
"277",0.091796875,1987-10-04
"278",0.4921875,1987-10-05
"279",0,1987-10-06
"280",0,1987-10-07
"281",0,1987-10-08
"282",0.0048828125,1987-10-09
"283",0,1987-10-10
"284",0,1987-10-11
"285",0,1987-10-12
"286",2.48828125,1987-10-13
"287",0,1987-10-14
"288",0.3310546875,1987-10-15
"289",0,1987-10-16
"290",0,1987-10-17
"291",4.9775390625,1987-10-18
"292",0.0322265625,1987-10-19
"293",0.92578125,1987-10-20
"294",2.03125,1987-10-21
"295",2.291015625,1987-10-22
"296",0,1987-10-23
"297",0.783203125,1987-10-24
"298",0,1987-10-25
"299",0,1987-10-26
"300",1.3974609375,1987-10-27
"301",0.294921875,1987-10-28
"302",0,1987-10-29
"303",0.0283203125,1987-10-30
"304",6.623046875,1987-10-31
"305",3.0009765625,1987-11-01
"306",30.5966796875,1987-11-02
"307",7.080078125,1987-11-03
"308",4.8740234375,1987-11-04
"309",3.45703125,1987-11-05
"310",5.16796875,1987-11-06
"311",0.96484375,1987-11-07
"312",3.7177734375,1987-11-08
"313",8.412109375,1987-11-09
"314",3.7900390625,1987-11-10
"315",0.0380859375,1987-11-11
"316",0,1987-11-12
"317",20.6123046875,1987-11-13
"318",0,1987-11-14
"319",0.140625,1987-11-15
"320",3.7998046875,1987-11-16
"321",8.744140625,1987-11-17
"322",5.517578125,1987-11-18
"323",7.775390625,1987-11-19
"324",7.74609375,1987-11-20
"325",0,1987-11-21
"326",6.4169921875,1987-11-22
"327",14.416015625,1987-11-23
"328",0.3955078125,1987-11-24
"329",0.3271484375,1987-11-25
"330",2.7353515625,1987-11-26
"331",5.072265625,1987-11-27
"332",4.521484375,1987-11-28
