"","precip","time"
"1",0,1987-01-01
"2",2.7236328125,1987-01-02
"3",0,1987-01-03
"4",0.322265625,1987-01-04
"5",0.0048828125,1987-01-05
"6",0,1987-01-06
"7",0,1987-01-07
"8",0,1987-01-08
"9",0,1987-01-09
"10",0,1987-01-10
"11",0,1987-01-11
"12",9.974609375,1987-01-12
"13",0.0283203125,1987-01-13
"14",0,1987-01-14
"15",0,1987-01-15
"16",7.1748046875,1987-01-16
"17",26.8916015625,1987-01-17
"18",24.8251953125,1987-01-18
"19",32.7802734375,1987-01-19
"20",36.89453125,1987-01-20
"21",65.037109375,1987-01-21
"22",42.6474609375,1987-01-22
"23",1.4189453125,1987-01-23
"24",0,1987-01-24
"25",0,1987-01-25
"26",0,1987-01-26
"27",0,1987-01-27
"28",4.6025390625,1987-01-28
"29",6.138671875,1987-01-29
"30",0,1987-01-30
"31",48.181640625,1987-01-31
"32",14.96484375,1987-02-01
"33",10.6572265625,1987-02-02
"34",0.0078125,1987-02-03
"35",3.1865234375,1987-02-04
"36",2.181640625,1987-02-05
"37",21.5673828125,1987-02-06
"38",8.798828125,1987-02-07
"39",9.75,1987-02-08
"40",10.2646484375,1987-02-09
"41",12.796875,1987-02-10
"42",25.787109375,1987-02-11
"43",58.6865234375,1987-02-12
"44",24.19921875,1987-02-13
"45",0,1987-02-14
"46",0,1987-02-15
"47",1.197265625,1987-02-16
"48",0.2646484375,1987-02-17
"49",2.291015625,1987-02-18
"50",24.9072265625,1987-02-19
"51",51.6826171875,1987-02-20
"52",42.7421875,1987-02-21
"53",98.130859375,1987-02-22
"54",38.05859375,1987-02-23
"55",28.9697265625,1987-02-24
"56",25.419921875,1987-02-25
"57",1.8203125,1987-02-26
"58",0,1987-02-27
"59",2.4912109375,1987-02-28
"60",0,1987-03-01
"61",4.884765625,1987-03-02
"62",0.134765625,1987-03-03
"63",0.931640625,1987-03-04
"64",0,1987-03-05
"65",0,1987-03-06
"66",0.0009765625,1987-03-07
"67",0,1987-03-08
"68",0.0009765625,1987-03-09
"69",0,1987-03-10
"70",5.4267578125,1987-03-11
"71",0.5615234375,1987-03-12
"72",0,1987-03-13
"73",0,1987-03-14
"74",0,1987-03-15
"75",0.025390625,1987-03-16
"76",0.076171875,1987-03-17
"77",0,1987-03-18
"78",0.00390625,1987-03-19
"79",0,1987-03-20
"80",0,1987-03-21
"81",0,1987-03-22
"82",0.005859375,1987-03-23
"83",0,1987-03-24
"84",0,1987-03-25
"85",0.0244140625,1987-03-26
"86",0,1987-03-27
"87",0.015625,1987-03-28
"88",0.0146484375,1987-03-29
"89",0,1987-03-30
"90",0.0048828125,1987-03-31
"91",0.0009765625,1987-04-01
"92",0,1987-04-02
"93",0.0029296875,1987-04-03
"94",0,1987-04-04
"95",0,1987-04-05
"96",0,1987-04-06
"97",0,1987-04-07
"98",0.001953125,1987-04-08
"99",0,1987-04-09
"100",0,1987-04-10
"101",0.0224609375,1987-04-11
"102",0.5380859375,1987-04-12
"103",0,1987-04-13
"104",0.0107421875,1987-04-14
