"","site_unique","site_location_name","established_date","description","bioregion_name","landform_pattern","landform_element","site_slope","site_aspect","comments","outcrop_lithology","other_outcrop_lithology","plot_dimensions","site_location_visit_id","visit_start_date","visit_end_date","visit_notes","location_description","erosion_type","erosion_abundance","erosion_state","microrelief","drainage_type","disturbance","climatic_condition","vegetation_condition","observer_veg","observer_soil","described_by","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","pit_marker_datum","pit_marker_location_method","soil_observation_type","a_s_c","plot_is_100m_by_100m","plot_is_aligned_to_grid","plot_is_permanently_marked","latitude","longitude","point","state"
"189","WAAPIL0003-57601","WAAPIL0003","2015-08-30T11:01:10","Millstream Chichester National Park. 200m east of summit ( twin ) tanks. 21.5km SW of Mt Leal. 76km east north east of Pannawonica","PIL","RIS","HSL","2","270","Co-located site WA- Department of Parks and Wildlife PBS031/PW11.
Burnt in January 2015. Eucalyptus leucophloia regenerating both from the base and from unburnt branches. Some Coarse woody debris but not much. Surface strew mostly gravels with some outcrops of bedrock. Mudstone or sandstone. A couple of large termite mounds within the site. Homogeneity- site is homogenous. NW Corner borders track 10m NW of the site. 100m from site is homogenous otherwise. Site is concave- slopes up to the NE and SW corners with drainage depression through the middle. Minimal grazing. Introduced species minimal- Cenchrus ciliaris close by the site at large water tanks.","NA","NC","100m x 100m.",57601,"2015-08-30T11:01:10","2015-08-30T11:01:10","Too rocky to collect soil subsite samples.Metagenomics collected.","Millstream Chichester National Park. 200m east of summit ( twin ) tanks. 21.5km SW of Mt Leal. 76km east north east of Pannawonica","n/a","0","n/a","TM",4,"0","DRY","BurntR",1,2,1,505898,7618067,50,"WGS84","DGPS","P",NA,TRUE,TRUE,TRUE,-21.5411027777778,117.057005555556,"SW","WA"
"226","NSABHC0023-57099","NSABHC0023","2014-04-21T00:00:00","Langawirra Station. 11.3km north of homestead. 93km north east of Broken Hill","BHC","PLA","PLA","0",NA,"Dodonaea viscosa subsp. angustissima on sandy soil. Minimal impact of introduced plant species.
","NA","NC",NA,57099,"2014-04-21T00:00:00","2014-04-21T00:00:00","Soil samples lodged at the TERN Facility, University of Adelaide, SA
The SW corner coordinates are derived from the soil site sheet. A full grid of coordinates has not been created.Plot aligned to magnetic north , not the grid.","Long unburnt. Introduced plant effect low, some Echium plantageum but cover low.","NC","NC","NC","NC",7,"NC","WET","AVG",22,7,7,608114,6531721,54,"WGS84",NA,"P",NA,TRUE,TRUE,TRUE,-31.34395,142.136552777778,"SW","NSW"
"300","TCATCH0006-58807","TCATCH0006","2020-02-06T15:29:07","Liawenee Moor. 5.4km north west of Miena, 7.5km south south west of Liawenee.
","TCH","PLA","PLA","1","9","Landform element and pattern is a plain within a plain.  Site aspect, slight slope <1 degree to the North.  Introduced plant impact is low-moderate  Aira praecox common, Teesdalia nudicaulis, Hypochaeris radicata, Leontodon saxatilis, Acetosella vulgaris and Anthoxanthum odoratum also present at low cover. Grazing impact is moderate, site is grazed >80years; sheep and cattle. Site is long unburnt, some evidence of past fire-ash. Lithology, scattered basalt cobble. Site is homogenous and community does extend from the centre, 70m South, 120m West, 150m N, 100m SE, where community transitions into a Richea sp. heathland. Nearest infrastructure is Stone Hut Road 100m South of plot, there is also a fence running WNW just north of the plot.","BA","BA","100 x 100m.",58807,"2020-02-06T15:29:07","2020-02-06T15:29:07","NS3 pt 14 annual forb is Asperula sp.
WE2 Lichen on rock @ pt 45.","Liawenee Moor. 5.4km north west of Miena, 7.5km south south west of Liawenee.
","n/a","X","n/a","VM",3,"1M","DRY","AVG",30,42,30,471165.4,5353960.4,55,"WGS84","TABLET","P","4 FE? AA AF? CD BFMOU (revised edition)",TRUE,TRUE,TRUE,-41.9658046875666,146.652027274331,"SW","TAS"
"331","WAAGAS0002-58421","WAAGAS0002","2016-08-08T15:32:20","South Side of track, 10.1km west of abandoned Jigalong mission road on track to Newman via Jimblebar Mine. 36.1km east of Wheelarra Hill. 76.5km east of Newman.","GAS","FLO","FAN","0",NA,"Flat site on Alluvial Plain on a floodplain. No surface strew- lots of Cryptogam. Plot has been burnt since first sampled- regeneration in tussock grasses and scarring on the tree. Some taller/older tussock grass patches indicating the fire was probably patchy through the site. Grazing effect is low- donkeys and camels in the area. Introduced plant effect is low- some Malvastrum americanum present. Homogeneity- plot sits in broad valley. 700m to the north of the site is the same community. To the west and east 200m. To the south begins to rise rapidly up to a low rise 20m south of the site. 20m from a track on the northern edge.","NA","NC",NA,58421,"2016-08-08T15:32:20","2016-08-08T15:32:20",NA,"South Side of track, 10.1km west of abandoned Jigalong mission road on track to Newman via Jimblebar Mine. 36.1km east of Wheelarra Hil. 76.5km east of Newman.","n/a","X","n/a","Z",4,"1L","WET","BurntR",1,17,1,242339,7411747,51,"WGS84","GPS","PA",NA,TRUE,TRUE,TRUE,-23.3847,120.479138888889,"SW","WA"
"364","NSAMDD0014-56963","NSAMDD0014","2014-06-04T00:00:00","Scotia Sanctuary. 8kms north of homestead 131 kms northwest of Wentworth.","MDD","DUN","DUS","1","1","Within fenced Scotia sanctuary, dune field with the plot on a gentle dune slope. Slope 2 degrees to the north. Very Long unburnt- 30-40 years. Grazing effect is moderate but lots of fauna diggings. Introduced plant effect is minimal. Cirsium vulgare present.
","NA","NA",NA,56963,"2014-06-04T00:00:00","2014-06-04T00:00:00",NA,"Dune field with the plot on a gentle dune slope. Slope 2 degrees to the north.  Very Long unburnt- 30-40 years. Grazing effect is moderate but lots of fauna diggings. ( site is inside enclosure at Scotia sanctuary) Introduced plant effect is minimal. Homogeneity- community continues 100m to south and west. To the east is a cleared line along road but community continues 30m beyond that. 40m to the north. Unburnt. Within fenced Scotia sanctuary.Mallee Triodia unburnt 8kms north of Scotia Homestaed and 131 kms northwest of Wentworth","n/a","X","n/a","Z",5,"0","WET","FFR",1,2,1,517985,6330177,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-33.1679388888889,141.191816666667,"SW","NSW"
"420","NTAGFU0021-53668","NTAGFU0021","2012-06-06T00:00:00","Macarthur River Station. 14.5km South East of Macarthur river homestead 5km West of Kilgour river.  80km South West of Borroloola","GFU","LOW","GUL",NA,NA,"Rocky site between two ranges. The main Abner range to the south and an unnamed range to the north.  Site slopes down to shallow creek on southern edge continues up the other side. A shallow drainage line runs more or less due east to west. Grazing impact low with one or two pads within site. Long unburnt- no scorch marks on Melaleuca stenostachya  and tussock grasses dense. A Recent  Fire on other side of track hasn’t crossed into the site. A drainage line runs through southern edge more or less west to east. Site continues up the slope on other side. Homogeneity- the community is more or less contained within the site. At the North East corner is a track. To the south the community grades into a Eucalyptus  leucophloia and  Triodia bitextura open Mallee woodland. Introduced plant species impact minimal- Stylosanthes hamata low cover.
","NC","NC",NA,53668,"2012-06-06T00:00:00","2012-06-06T00:00:00","","Macarthur River Station. 14.5km South East of Macarthur river homestead 5km West of Kilgour river.  80km South West of Borraloola","G","1","NC","T",5,"1L","DRY","FFR",1,2,1,600522,8151690,53,"WGS84","DGPS","P","3KAABYYCDAHKOU",TRUE,TRUE,TRUE,-16.7154027777778,135.942922222222,"SW","NT"
"462","NSANSS0001-58579","NSANSS0001","2018-05-09T10:42:00","Goobang National Park, 45.9km north north east of Parkes","NSS","RIS","DDE","2","180","Plot sits in a broad valley/ Drainage depression between ranges. To the west is low rise.  Gentle slope to the south 2 degrees. Creek through the site- quite deep in places ( 2-3m deep in water holes) Rest of the site is floodplain of creek- no real change in vegetation along the creek. Some sandstone cobbles in the creek channel. Long unburnt- some trees show evidence of fire but no scarring on trunks. Grazing is only from Kangaroos. Younger Eucalyptus on east of the site and west outside of the site have leaf die off- probably because of the dry.  Most of the older Eucalypts seem ok. Homogeneity- community is confined to the plot. Park access track running north to south 10m west of the plot.
","NA","NAP",NA,58579,"2018-05-09T15:45:00","2018-05-09T15:45:00",NA,"Goobang National Park, 45.9km north north east of Parkes","n/a","X","n/a","Z",3,"0","DRY","DRY",1,31,1,626254,6375643,55,"GDA94","TABLET","P",NA,TRUE,TRUE,TRUE,-32.7498555555556,148.347694444444,"SW","NSW"
"468","SATSTP0005-58639","SATSTP0005","2013-08-17T00:00:00","Murnpeowie Station , 40kms northwest of homestead.","STP","DUN","DUN","5","270","Dune system with moderate slopes to the west and steep slopes to east. Dunes run parallel north east to south west.  The south east corner of site runs into a dune swale and so site is not entirely homogenous.

 

","NA","NA","100 x 100m.",58639,"2018-08-05T13:20:00","2018-08-05T13:20:00","Points 17-43 on transect W2-E2 not collected","Slope complex-undulating-high in the middle and slopes away on all sides. East corner lends into swale. That corner has gibber. Homogeneity- site is a little heterogenic. Distance to infrastructure-NW corner closest to road-50m. Weed impact is low. Site is long unburnt and grazing is minimal- rabbit and cattle. ","W","1","P","Z",6,"0","DRY","DRY",30,31,30,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-29.4565972222222,138.848797222222,"SW","SA"
"469","SATSTP0005-53513","SATSTP0005","2013-08-17T00:00:00","Murnpeowie Station , 40kms northwest of homestead.","STP","DUN","DUN","5","270","Dune system with moderate slopes to the west and steep slopes to east. Dunes run parallel north east to south west.  The south east corner of site runs into a dune swale and so site is not entirely homogenous.

 

","NA","NA","100 x 100m.",53513,"2013-08-17T00:00:00","2013-08-17T00:00:00",NA,"Murnpeowie Station. Dune system with Dodonea viscosa' Acacia species and Zygochloa paradoxa. 40 km north west of Murnpeowie Station.
","W","0","P","Y",6,"0","WET","FFR",3,2,3,291374,6739501,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-29.4565972222222,138.848797222222,"SW","SA"
"602","QDASSD0015-58694","QDASSD0015","2014-05-08T00:00:00","Cravens Peak Reserve. 56km north west of Carlo homestead","CHC","PLT","PLA","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit- no change
-------------- new visit physicalStatusComments end ---------------
Introduced plant effect low- none noted. Long unburnt- some dead litter through the centre of the plot but has been there for some time. Mix of cobbles and pebbles with cobbles dominating,. Mixed lithology- sandstone as well as some gibber. Homogeneity- Community opens up to the south. North east corner is where the track is. To the west it extends 70m and the same to the north. Large stand of sparse Acacia aneura shrubland.","NA","NA","100 x 100 m.",58694,"2018-06-24T14:52:00","2018-06-24T14:52:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.2018","Cravens Peak Reserve. 56km north west of Carlo homestead

","NC","NC","NC","NC",7,"NC","DRY","DRY",41,13,41,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.188075,138.193094444444,"SW","QLD"
"603","QDASSD0015-56924","QDASSD0015","2014-05-08T00:00:00","Cravens Peak Reserve. 56km north west of Carlo homestead","CHC","PLT","PLA","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit- no change
-------------- new visit physicalStatusComments end ---------------
Introduced plant effect low- none noted. Long unburnt- some dead litter through the centre of the plot but has been there for some time. Mix of cobbles and pebbles with cobbles dominating,. Mixed lithology- sandstone as well as some gibber. Homogeneity- Community opens up to the south. North east corner is where the track is. To the west it extends 70m and the same to the north. Large stand of sparse Acacia aneura shrubland.","NA","NA","100 x 100 m.",56924,"2014-05-08T00:00:00","2014-05-08T00:00:00","
transect E3-W3 3 points 69 to 97 missing","Cravens Peak reserve. 56km north west of Carlo homestead","S","1","S","U",4,"0","DRY","DRY",1,2,1,212761,7432990,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.188075,138.193094444444,"SW","QLD"
"604","QDASSD0015-57635","QDASSD0015","2014-05-08T00:00:00","Cravens Peak Reserve. 56km north west of Carlo homestead","CHC","PLT","PLA","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit- no change
-------------- new visit physicalStatusComments end ---------------
Introduced plant effect low- none noted. Long unburnt- some dead litter through the centre of the plot but has been there for some time. Mix of cobbles and pebbles with cobbles dominating,. Mixed lithology- sandstone as well as some gibber. Homogeneity- Community opens up to the south. North east corner is where the track is. To the west it extends 70m and the same to the north. Large stand of sparse Acacia aneura shrubland.","NA","NA","100 x 100 m.",57635,"2015-04-25T00:00:00","2015-04-25T00:00:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.","NC","NC","NC","NC","NC",7,"NC","NC","NC",23,13,23,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.188075,138.193094444444,"SW","QLD"
