"","site_unique","site_location_name","established_date","description","bioregion_name","landform_pattern","landform_element","site_slope","site_aspect","comments","outcrop_lithology","other_outcrop_lithology","plot_dimensions","site_location_visit_id","visit_start_date","visit_end_date","visit_notes","location_description","erosion_type","erosion_abundance","erosion_state","microrelief","drainage_type","disturbance","climatic_condition","vegetation_condition","observer_veg","observer_soil","described_by","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","pit_marker_datum","pit_marker_location_method","soil_observation_type","a_s_c","plot_is_100m_by_100m","plot_is_aligned_to_grid","plot_is_permanently_marked","latitude","longitude","point","state","lon_easting","lat_northing"
"1","NTADAC0001-53518","NTADAC0001","2013-05-28T00:00:00","Litchfield National Park. 30km south west of Bachelor. 77.5km south south west of Darwin. Along track to Lost City from Litchfield Road.","DAC","PLA","PLA","2","225","Stable flat soil surface across site with little bare soil.  Site is on broad, slightly elevated, plain, extending to the west, but to the east has gentle slope north east. Tree bark charred and charcoal on ground- surrounding areas also with burns of differing age. Site resembles vegetation/physical elements of local community south of Litchfield park road. Fire here 2 years ago.","NA","NA",NA,53518,"2013-05-28T00:00:00","2013-05-28T00:00:00","Black steel star pickets mark 4 corners and centre.","Litchfield National Park. 30km south west of Bachelor. 77.5km south south west of Darwin.","n/a","X","n/a","J",5,"0","DRY","AVG",11,11,11,692704.03,8544672.06,52,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-13.15835,130.777911111111,"SW","NT",130.777910978154,-13.1583500312102
"2","NTASSD0015-53565","NTASSD0015","2013-03-24T00:00:00","Andado Station, 2km north of east bore. 10km east of Mac Clark Conservation Reserve. 115km north east of Finke Community","SSD","FLO","SWP","0",NA,"Burnt 2011. grazing impact moderate. Weed impact low Cenchrus ciliaris present. Part of long swamp.","NA","NC",NA,53565,"2013-03-24T00:00:00","2013-03-24T00:00:00","","2km north of east bore. 10km east of mac clark conservation reserve.","NC","X","NC","O",4,"0","DRY","DRY",1,2,1,562183,7221180,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.1239333333333,135.616791666667,"SW","NT",135.616836983144,-25.123997049703
"3","QDAMII0002-53546","QDAMII0002","2014-03-11T00:00:00","Camooweal Caves Conservation Park. 10.5km south west of Camooweal.","MII","PLA","PLA","0",NA,"Stony plain Fire history difficult to tell- within last 5 years- maybe a little bit longer. Within the site are some deep holes to 40cms deep- possibly caused by trees burnt in last fire Introduced species effect- nil. Grazing effect is low- some old cattle scats in the site. Surface strew is mostly gravel and pebbles up to 50mm, some larger cobbles. Substrate is a mix of laterite, quartzite, and mudstone Homogeneity- site continues to the west 60m, north is road. To the East grades more into Eucalyptus leucophloia woodland, 50m to the south. Site is slightly elevated from clay plains. Slope is flat with no real discernible slope. Flat in visible vicinity.","NA","NA","100m x 100m.",53546,"2014-03-11T00:00:00","2014-03-11T00:00:00","North to south transect 3 points 69 to 80 missing","Camooweal Caves Conservation park. 10.5km south west of Camooweal.","NC","X","NC","Z",4,"0","WET","FFR",1,2,1,203003,7785232,54,"WGS84",NA,"P",NA,TRUE,TRUE,TRUE,-20.0078944444444,138.160591666667,"SW","QLD",138.161553542569,-20.0069427776486
"4","SATSTP0005-53513","SATSTP0005","2013-08-17T00:00:00","Murnpeowie Station , 40kms northwest of homestead.","STP","DUN","DUN","5","270","Dune system with moderate slopes to the west and steep slopes to east. Dunes run parallel north east to south west.  The south east corner of site runs into a dune swale and so site is not entirely homogenous.

 

","NA","NA","100 x 100m.",53513,"2013-08-17T00:00:00","2013-08-17T00:00:00",NA,"Murnpeowie Station. Dune system with Dodonea viscosa' Acacia species and Zygochloa paradoxa. 40 km north west of Murnpeowie Station.
","W","0","P","Y",6,"0","WET","FFR",3,2,3,291374,6739501,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-29.4565972222222,138.848797222222,"SW","SA",138.848787803942,-29.4565794136724
"5","SATSTP0005-58639","SATSTP0005","2013-08-17T00:00:00","Murnpeowie Station , 40kms northwest of homestead.","STP","DUN","DUN","5","270","Dune system with moderate slopes to the west and steep slopes to east. Dunes run parallel north east to south west.  The south east corner of site runs into a dune swale and so site is not entirely homogenous.

 

","NA","NA","100 x 100m.",58639,"2018-08-05T13:20:00","2018-08-05T13:20:00","Points 17-43 on transect W2-E2 not collected","Slope complex-undulating-high in the middle and slopes away on all sides. East corner lends into swale. That corner has gibber. Homogeneity- site is a little heterogenic. Distance to infrastructure-NW corner closest to road-50m. Weed impact is low. Site is long unburnt and grazing is minimal- rabbit and cattle. ","W","1","P","Z",6,"0","DRY","DRY",30,31,30,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-29.4565972222222,138.848797222222,"SW","SA",NA,NA
"6","NTTDAB0001-53580","NTTDAB0001","2014-03-17T00:00:00","Umbrawarra Conservation Park. 9 km north east of Jindare homestead, 23km south west of Pine Creek","DAB","ESC","HSL","3","135","Grazing effect is low to minimal. Fire- some scars on Eucalyptus tetrodonta and Eucalyptus miniata. Check with Bushfires NT plot data (site is Co-located with Bushfires Leaf fall plot). No introduced species noted. Site slopes more steeply to SW corner averaging 3 degrees through the site and 5 degrees at south west corner where gully is forming. Surface strew is a mix of cobbles and boulders mostly sandstone but possibly also some granite. Climate: At the end of wet season but soil surface is quite dry. On a plateau above Daly River Basin which drops away to the west.","SA","NA",NA,53580,"2014-03-17T00:00:00","2014-03-17T00:00:00","","Umbrawarra conservation park. 9 km north east of Jindare homestead, 23km south west of Pine Creek.
","R","1","A","X",6,"0","DRY","DRY",1,2,1,788910,8454740,52,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-13.962875,131.673997222222,"SW","NT",131.674029542084,-13.9629825989883
"7","NTTDMR0001-53582","NTTDMR0001","2014-03-13T00:00:00","Powell Creek Station. 800m south west of Homestead. East of Lake Woods","DMR","ESC","SWP","1","225","Small swamp/ Drainage depression. Adjacent to a creek and site goes partially onto levee of a creek ( 10%) other side is 10% on the slope of metamorphic hill. Rest of the site is alluvial. Seepage off the hill. Running water in the site. Long unburnt- 5+ years since fire. Introduced species effect low- some Cenchrus ciliaris close to creek on the levee. No surface strew and very little bare soil. Lots of leaf litter.  No surface strew. An old track cuts through northern part of site. Introduced plant species effect is low- Cenchrus ciliaris present.
","NA","NA",NA,53582,"2014-03-13T00:00:00","2014-03-13T00:00:00","Notes on point intercept:
Surface water covered parts of the site. The following substrate records were covered with water:
Bare: 85 x points covered
Cryptogam: 1 x point covered with water
Litter: 5 x points covered with water
Gravel: 1 x point covered with water","Powel Creek station. 800m south west of Homestead. East of Lake woods","R","2","A","Z",5,"0","WET","FFR",3,8,3,360791,8000470,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-18.0800416666667,133.684544444444,"SW","NT",133.684502887461,-18.0799774779383
"8","NTASSD0011-53559","NTASSD0011","2013-03-19T00:00:00","Andado station, 19km  west south west of Station homestead. 55km east north east of Finke community","SSD","PLA","PLA","0",NA,"Gibber plain","CU","NA",NA,53559,"2013-03-19T00:00:00","2013-03-19T00:00:00","","Bare gibber plain with sandy micro rises of short grasses","NC","2","NC","D",4,"1M","DRY","DRY",1,2,1,511565,7181833,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.4805472222222,135.115113888889,"SW","NT",135.115058925047,-25.4805672727183
"9","NTTDMR0002-53581","NTTDMR0002","2014-03-14T00:00:00","Powell Creek Station. 4.5km west of Homestead. East of lake woods","DMR","PLA","PLA",NA,NA,"Site is on a broad plain above heavy clays of the Mitchell grass downs. No grazing at present. Introduced species- ground layer dominated by Cenchrus ciliaris. Site burnt within 5 years-evidence of re-sprouting on canopy as well as burnt grass clumps.  Site is flat with only small contours for relief. Vegetation community continues 50m to the north and west and east. To the south borders the road and the community continues 50m beyond that. Site is sandy so no real surface strew.","NA","NC",NA,53581,"2014-03-14T00:00:00","2014-03-14T00:00:00","","Powell creek station. 4.5km west of Homestead. East of lake woods","NC","X","NC","X",4,"0","WET","FFR",1,8,1,355543,8001254,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-18.0724972222222,133.635022222222,"SW","NT",133.634975256471,-18.0725489362577
"10","NTTDMR0003-53583","NTTDMR0003","2014-03-14T01:00:00","Powell Creek station. 2.2km west of homestead. South East of Lake Woods","DMR","SAN","PLA","0",NA,"Site is a flat sandplain with the sand in the soil at depth. Termite mounds prominent.. Fire- some scaring but 5+years since last fire. Introduced species effect moderate- Cenchrus ciliaris common through the site. Site has been grazed but no cattle at present. Trees to 8m. Grass layer to 50cms. No surface strew- lots of bare soil and cryptogam.","NA","NA",NA,53583,"2014-03-14T01:00:00","2014-03-14T01:00:00",NA,"Powel Creek station. 2.2km west of homestead. South East of Lake Woods","NC","X","NC","X",4,"0","WET","FFR",3,8,3,358924,8001320,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-18.0720444444444,133.666930555556,"SW","NT",133.666921582333,-18.0721757486145
